"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","MXN","Mexican Peso","0","Units",,,10.102583,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","PLN","Zloty","0","Units",,,1.775957,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","GBP","Pound Sterling","0","Units",,,0.74594,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","NZD","New Zealand Dollar","0","Units",,,1.39504,,
"GRC","Greece","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.576894,,
"FIN","Finland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.886801,,
"JPN","Japan","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","JPY","Yen","0","Units",,,103.721595,,
"AUS","Australia","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","AUD","Australian Dollar","0","Units",,,1.529298,,
"SVN","Slovenia","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.603879,,
"HUN","Hungary","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","HUF","Forint","0","Units",,,154.23602,,
"NLD","Netherlands","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.826881,,
"NOR","Norway","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","NOK","Norwegian Krone","0","Units",,,10.852187,,
"ITA","Italy","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.696609,,
"SWE","Sweden","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","SEK","Swedish Krona","0","Units",,,9.628066,,
"DNK","Denmark","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","DKK","Danish Krone","0","Units",,,7.337042,,
"ESP","Spain","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.676499,,
"TUR","Türkiye","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","TRY","Turkish Lira","0","Units",,,2.573342,,
"ISR","Israel","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","ILS","New Israeli Sheqel","0","Units",,,4.081693,,
"SVK","Slovak Republic","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.5615,,
